08-14-2025 15:01:19 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [46%@1728,7%@1113,2%@1113,0%@1113,1%@729,32%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 39%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.906C soc2@48C soc0@48.687C gpu@48.062C tj@50.906C soc1@48.25C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/526mW VIN_SYS_5V0 3215mW/3105mW
08-14-2025 15:01:21 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [66%@1728,7%@953,2%@1190,2%@1190,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.937C soc2@48.031C soc0@48.5C gpu@47.468C tj@50.937C soc1@48.093C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/521mW VIN_SYS_5V0 3114mW/3106mW
08-14-2025 15:01:22 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [74%@1728,2%@1113,2%@1113,1%@1113,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 39%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.843C soc2@48.093C soc0@48.656C gpu@47.687C tj@50.843C soc1@48.125C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/516mW VIN_SYS_5V0 3114mW/3106mW
08-14-2025 15:01:23 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [75%@1728,0%@1113,2%@1113,0%@1113,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.093C soc2@48.031C soc0@48.531C gpu@47.968C tj@51.093C soc1@48.031C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/511mW VIN_SYS_5V0 3114mW/3106mW
08-14-2025 15:01:24 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [69%@1728,6%@1113,1%@1113,1%@1113,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 41%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.968C soc2@47.968C soc0@48.531C gpu@47.593C tj@50.968C soc1@48.25C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/507mW VIN_SYS_5V0 3114mW/3106mW
08-14-2025 15:01:25 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [17%@1728,3%@729,7%@729,57%@729,7%@1113,2%@729,2%@729,0%@729,off,off,off,off] EMC_FREQ 12%@204 GR3D_FREQ 39%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.968C soc2@48.093C soc0@48.656C gpu@47.593C tj@50.968C soc1@48.187C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 799mW/518mW VIN_SYS_5V0 3215mW/3111mW
08-14-2025 15:01:26 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [37%@1728,1%@1113,5%@1113,37%@1113,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 40%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.875C soc2@47.968C soc0@48.531C gpu@47.656C tj@51.343C soc1@48.062C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/513mW VIN_SYS_5V0 3114mW/3111mW
08-14-2025 15:01:27 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [50%@1728,0%@1190,12%@1190,18%@1190,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.218C soc2@48.093C soc0@48.562C gpu@47.968C tj@51.218C soc1@48.125C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/509mW VIN_SYS_5V0 3114mW/3111mW
08-14-2025 15:01:28 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [64%@1728,0%@923,0%@1104,11%@1190,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 39%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.781C soc2@48.031C soc0@48.656C gpu@47.531C tj@50.781C soc1@48.156C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/506mW VIN_SYS_5V0 3114mW/3111mW
08-14-2025 15:01:29 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [45%@1420,0%@729,7%@729,25%@729,3%@1036,3%@1113,0%@1113,0%@1036,off,off,off,off] EMC_FREQ 1%@2133 GR3D_FREQ 40%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.375C soc2@48.093C soc0@48.593C gpu@48C tj@51.375C soc1@48.093C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 799mW/515mW VIN_SYS_5V0 3215mW/3114mW
08-14-2025 15:01:30 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,1%@729,0%@729,3%@806,76%@1036,0%@1036,0%@1036,off,off,off,off] EMC_FREQ 1%@2133 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.093C soc2@48C soc0@48.562C gpu@47.718C tj@51.093C soc1@48.062C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/512mW VIN_SYS_5V0 3114mW/3114mW
08-14-2025 15:01:31 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,1%@729,0%@729,0%@729,3%@806,13%@883,59%@883,0%@883,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.25C soc2@47.968C soc0@48.562C gpu@47.687C tj@51.25C soc1@47.937C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/508mW VIN_SYS_5V0 3114mW/3114mW
08-14-2025 15:01:32 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,9%@905,2%@1036,0%@1036,3%@729,0%@729,65%@729,1%@729,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 39%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.937C soc2@47.968C soc0@48.593C gpu@47.781C tj@50.937C soc1@48.25C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/505mW VIN_SYS_5V0 3114mW/3114mW
08-14-2025 15:01:33 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [46%@1728,4%@1113,2%@1113,26%@1113,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.937C soc2@47.968C soc0@48.687C gpu@47.906C tj@50.937C soc1@48.187C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/502mW VIN_SYS_5V0 3114mW/3114mW
08-14-2025 15:01:34 RAM 12578/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [54%@1113,2%@1036,7%@1036,21%@1036,0%@729,0%@729,0%@729,3%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.906C soc2@48.062C soc0@48.562C gpu@47.812C tj@50.906C soc1@48.125C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 799mW/510mW VIN_SYS_5V0 3215mW/3117mW
08-14-2025 15:01:35 RAM 12578/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,1%@729,1%@729,8%@729,4%@960,65%@909,0%@908,0%@1036,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 42%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.281C soc2@48C soc0@48.593C gpu@47.937C tj@51.281C soc1@48.093C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/507mW VIN_SYS_5V0 3114mW/3117mW
08-14-2025 15:01:36 RAM 12578/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,2%@960,0%@960,75%@960,0%@960,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.375C soc2@48.062C soc0@48.656C gpu@47.812C tj@51.375C soc1@48.125C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/504mW VIN_SYS_5V0 3014mW/3114mW
08-14-2025 15:01:38 RAM 12578/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1728,1%@729,0%@729,0%@729,2%@806,0%@729,72%@729,0%@729,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.843C soc2@48.062C soc0@48.656C gpu@47.5C tj@50.843C soc1@48.156C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/502mW VIN_SYS_5V0 3114mW/3114mW
08-14-2025 15:01:39 RAM 12578/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,off,off,off,off] EMC_FREQ 4%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.906C soc2@47.968C soc0@48.531C gpu@47.625C tj@50.906C soc1@48.25C VDD_GPU_SOC 2398mW/2787mW VDD_CPU_CV 399mW/499mW VIN_SYS_5V0 2612mW/3102mW
08-14-2025 15:01:40 RAM 12580/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1728,1%@729,1%@729,5%@729,0%@729,1%@729,3%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.875C soc2@48C soc0@48.593C gpu@47.5C tj@50.875C soc1@48.062C VDD_GPU_SOC 2398mW/2778mW VDD_CPU_CV 399mW/497mW VIN_SYS_5V0 2712mW/3092mW
08-14-2025 15:01:41 RAM 12579/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.812C soc2@47.906C soc0@48.656C gpu@47.656C tj@50.812C soc1@48.125C VDD_GPU_SOC 2398mW/2769mW VDD_CPU_CV 399mW/494mW VIN_SYS_5V0 2712mW/3083mW
08-14-2025 15:01:42 RAM 12579/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.875C soc2@48C soc0@48.531C gpu@47.562C tj@50.875C soc1@48.281C VDD_GPU_SOC 2398mW/2760mW VDD_CPU_CV 399mW/492mW VIN_SYS_5V0 2612mW/3072mW
